Date,from_usd_rate,to_usd_rate,cross_rate
2025-08-01,1391.510009765625,0.8138999938964844,0.0005849041603614273
2025-08-04,1390.1800537109375,0.8040099740028381,0.0005783495251975592
2025-08-05,1383.5899658203125,0.8070899844169617,0.0005833303249915148
2025-08-06,1386.5799560546875,0.8069199919700623,0.0005819498460557848
2025-08-07,1384.3900146484375,0.8060500025749207,0.0005822419939800094
2025-08-08,1384.969970703125,0.8056899905204773,0.0005817382380582899
2025-08-11,1387.81005859375,0.8074700236320496,0.0005818303582914282
2025-08-12,1389.7900390625,0.8118000030517578,0.0005841170106524634
2025-08-13,1383.0899658203125,0.8061400055885315,0.0005828543518572986
2025-08-14,1378.780029296875,0.8047199845314026,0.0005836463884248301
2025-08-15,1387.8699951171875,0.8075199723243713,0.0005818412208386903
2025-08-18,1387.97998046875,0.8065999746322632,0.0005811322828733146
2025-08-19,1386.9100341796875,0.8074100017547607,0.0005821646551373591
2025-08-20,1391.3399658203125,0.8077700138092041,0.0005805698345860103
2025-08-21,1396.9100341796875,0.8041399717330933,0.0005756562355895104
2025-08-22,1399.6099853515625,0.8086699843406677,0.0005777823770938167
2025-08-25,1382.8900146484375,0.8022599816322327,0.0005801328906378614
2025-08-26,1389.050048828125,0.8061699867248535,0.0005803750465326865
2025-08-27,1393.949951171875,0.8037599921226501,0.0005766060621092888
2025-08-28,1392.75,0.8015000224113464,0.0005754801812323435
2025-08-29,1384.4100341796875,0.8015900254249573,0.0005790120019607688
2025-09-01,1388.8399658203125,0.8006399869918823,0.0005764810969556076
2025-09-02,1392.93994140625,0.8001499772071838,0.0005744325030980073
2025-09-03,1394.5699462890625,0.8052899837493896,0.0005774468221491928
2025-09-04,1389.6300048828125,0.8037999868392944,0.0005784273396623145
2025-09-05,1392.06005859375,0.8051300048828125,0.0005783730377956175
2025-09-08,1385.510009765625,0.7991799712181091,0.0005768128455118846
2025-09-09,1385.719970703125,0.7928100228309631,0.0005721285971138059
2025-09-10,1387.25,0.7972999811172485,0.0005747341727282383
2025-09-11,1387.199951171875,0.7986699938774109,0.0005757425187354661
2025-09-12,1389.5,0.7959499955177307,0.0005728319507144517
2025-09-15,1393.699951171875,0.7967000007629395,0.0005716438463623711
2025-09-16,1385.010009765625,0.7946599721908569,0.0005737575660737147
2025-09-17,1377.6400146484375,0.7859100103378296,0.0005704755973848418
2025-09-18,1378.68994140625,0.7883399724960327,0.000571803673052067
2025-09-19,1386.75,0.7925099730491638,0.0005714872709927267
